Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,33.45,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,43.63,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,38.58,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,37.1,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,41.24,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,44.2,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,49.85,Kilotonnes,Carbon dioxide equivalents
Manawatu-Whanganui,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2023,45.57,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,55.49,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,67.8,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,64.33,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,65.67,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,62.5,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,60.89,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,57.15,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,57.91,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,54.31,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,55.31,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,52.36,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,65.63,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,64.97,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,62.3,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,61.15,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,51.09,Kilotonnes,Carbon dioxide equivalents
